"student","classes","Monday","Tuesday","Wednesday","Thursday","Friday"
"Alice","MATH-220;CISC-160;CISC-301","11:30+120;14:00+90","11:00+120;16:30+90","9:00+60;10:30+90;12:30+150;17:00+60","12:30+150;16:30+90","11:30+90;15:30+90",
"Bob","MATH-220;CISC-301","9:30+60;11:00+90;13:30+150;17:30+30","11:30+180;15:00+90;17:00+60","11:00+180;15:00+120;17:30+30","13:30+60;15:30+90","12:30+120;15:00+120;17:30+30",
"Carol","CISC-160","12:30+60;14:30+150","10:30+180;15:00+90","10:00+60;11:30+60;13:00+60;14:30+90","12:30+90;15:00+90;17:00+60","10:00+60;12:30+150;17:00+60",
"Dave","MATH-220;CISC-160","11:30+90;14:30+180","11:00+150;14:30+60;17:00+60","11:00+120;14:00+120;17:00+60","10:30+180;17:00+60","11:00+120;15:00+120",
"Ellie","CISC-301","11:30+120;17:00+60","11:30+150;15:30+150","10:00+150;14:00+120","15:30+60;17:30+30","9:30+90;14:00+120;16:30+90",
"Fred","MATH-220;CISC-301","13:00+120;15:30+90;17:30+30","12:00+90;14:00+150","9:00+150;12:00+60;13:30+120","10:30+150;14:30+90;16:30+90","13:30+150;17:30+30",
"Georgia","CISC-160;CISC-301","12:00+120;14:30+120;17:30+30","9:30+150;13:00+60;16:00+60;17:30+30","12:30+60;15:30+60;17:00+60","9:30+150;16:00+90","9:30+150;17:30+30",
"Henry","CISC-301","13:00+120;15:30+150","11:30+90;14:30+90;17:00+60","11:00+150;16:30+90","10:30+180;15:00+60;16:30+60","14:00+120;17:00+60",
"Isabella","MATH-220;CISC-160","11:00+60;13:00+120;16:30+90","11:00+60;12:30+90;16:00+120","9:30+180;13:00+150;17:30+30","10:30+90;12:30+150;15:30+60;17:00+60","11:00+90;13:00+90;15:00+60",
"Jacob","MATH-220;CISC-301","13:30+60;15:00+60;17:30+30","9:00+120;11:30+90;15:00+60;16:30+60","10:30+90;12:30+120;17:00+60","11:00+60;14:30+90;16:30+90","10:00+180;14:30+150",
"Linda","MATH-220","10:30+120;13:00+60;16:30+90","10:00+60;12:00+120;17:00+60","10:30+60;12:00+60;14:00+60;15:30+90;17:30+30","11:00+120;14:00+90;16:30+90","11:00+180;14:30+180",
"Mike","CISC-160","10:30+60;13:30+150;16:30+60","11:00+120;13:30+60;15:00+60;16:30+90","9:00+60;10:30+60;12:30+60;15:00+120","9:30+90;13:30+60;15:00+60","12:00+120;14:30+120;17:30+30",
"Nancy","CISC-160;CISC-301","9:00+90;14:00+60;17:00+60","9:30+120;13:00+120;16:00+120","11:30+60;13:30+60;16:00+120","10:00+60;13:30+150","13:00+120;16:00+120",
"Oscar","CISC-160;CISC-301","11:00+90;13:00+60;16:30+90","11:30+90;14:00+60;16:30+90","9:30+60;11:30+150;15:00+60;17:00+60","12:00+90;14:00+90;17:00+60","10:30+120;13:00+60;16:30+90",
"Phoebe","MATH-220;CISC-160","11:00+120;13:30+120;17:00+60","10:00+60;11:30+60;13:00+120;16:30+90","11:30+90;14:00+90;16:00+120","10:30+120;15:00+120","10:00+60;11:30+90;13:30+60;17:30+30",
"Quentin","MATH-220;CISC-160","12:00+90;14:00+90","9:00+90;12:30+60;14:00+60;16:00+120","11:30+90;13:30+150;16:30+60","12:30+60;17:00+60","9:30+60;11:00+120;14:00+60",
"Rachel","MATH-220;CISC-160","11:30+150;17:00+60","9:00+180;12:30+90;14:30+60;16:30+90","10:00+120;13:00+90;17:30+30","11:00+60;17:00+60","12:30+120;16:00+60",
"Sam","MATH-220;CISC-160","10:00+180;14:30+150","12:00+60;13:30+120;16:00+90","12:00+90;14:00+150","11:30+90;14:30+60;16:30+90","11:00+60;15:00+90;17:30+30",
"Tina","MATH-220","10:00+60;11:30+120;14:00+180","12:30+90;14:30+120;17:30+30","10:00+120;13:30+90;15:30+120","12:00+60;13:30+60","12:30+90;16:30+90",
"Victor","CISC-160","10:00+90;12:30+150","11:00+120;16:00+120","12:00+60;14:00+60;15:30+60","10:30+120;13:30+60;15:30+120","13:30+60;15:00+60;16:30+90",
